DisplayDate,Open,High,Low,Close,Volume,OI,Change in price,Condition (Close<open),change is negative,close>open,change is positive,Volume (outlier),change in price (outlier),Volume (after outlier),Change in price (removing O),Act Change in price (removing O)
4/4/2014 0:00,295.381508,295.656964,289.229639,290.331466,2253884,0,5.050042,,,,,1,1,2253884,5.050042,-5.050042
4/3/2014 0:00,301.808833,301.808833,293.315582,294.463318,4399722,0,7.345515,,,,,1,1,4399722,7.345515,-7.345515
4/2/2014 0:00,293.820586,301.625195,292.948306,299.191993,6040679,0,5.371407,,,,,1,1,6040679,5.371407,5.371407
4/1/2014 0:00,291.984207,295.106051,286.475071,289.551005,2850369,0,2.433202,,,,,1,1,2850369,2.433202,-2.433202
3/31/2014 0:00,293.361491,300.431549,290.0101,291.75466,5887374,0,1.606831,,,,,1,1,5887374,1.606831,-1.606831
3/28/2014 0:00,285.556882,293.728767,284.271417,291.433294,5102919,0,5.876412,,,,,1,1,5102919,5.876412,5.876412
3/27/2014 0:00,276.834083,289.688734,275.043614,285.281425,12908463,0,8.447342,,,,,1,1,12908463,8.447342,8.447342
3/26/2014 0:00,272.243137,274.997705,270.865853,274.125425,7109047,0,1.882288,,,,,1,1,7109047,1.882288,1.882288
3/25/2014 0:00,269.947663,272.151318,265.861721,270.728124,6894113,0,0.780461,,,,,1,1,6894113,0.780461,0.780461
3/24/2014 0:00,270.865853,273.390873,268.294922,269.901754,4794591,0,0.964099,,,,,1,1,4794591,0.964099,-0.964099
3/22/2014 0:00,268.570379,270.774034,268.570379,269.855844,170901,0,1.285465,,,,,1,1,170901,1.285465,1.285465
3/21/2014 0:00,274.814067,275.456799,267.698099,268.52447,4551519,0,6.289597,,,,,1,1,4551519,6.289597,-6.289597
3/20/2014 0:00,274.584519,279.221375,270.865853,271.324947,3228869,0,3.259572,,,,,1,1,3228869,3.259572,-3.259572
3/19/2014 0:00,272.656322,277.201359,271.416766,275.181342,4696950,0,2.52502,,,,,1,1,4696950,2.52502,2.52502
3/18/2014 0:00,273.161326,274.53861,269.672206,270.957671,3104006,0,2.203655,,,,,1,1,3104006,2.203655,-2.203655
3/14/2014 0:00,276.007713,277.568635,266.596272,270.865853,3784387,0,5.14186,,,,,1,1,3784387,5.14186,-5.14186
3/13/2014 0:00,276.374989,279.083647,273.620421,276.28317,2058471,0,0.091819,,,,,1,1,2058471,0.091819,-0.091819
3/12/2014 0:00,280.047746,281.884125,273.712239,275.594528,3709139,0,4.453218,,,,,1,1,3709139,4.453218,-4.453218
3/11/2014 0:00,281.654577,281.654577,274.354972,278.257277,4009342,0,3.3973,,,,,1,1,4009342,3.3973,-3.3973
3/10/2014 0:00,277.247268,284.546874,276.28317,280.185474,9133615,0,2.938206,,,,,1,1,9133615,2.938206,2.938206
3/7/2014 0:00,264.438527,280.736388,264.025342,277.201359,12842274,0,12.762832,,,,,1,1,12842274,12.762832,12.762832
3/6/2014 0:00,260.76577,263.061243,260.306675,262.46442,7491046,0,1.69865,,,,,1,1,7491046,1.69865,1.69865
3/5/2014 0:00,266.642182,266.642182,258.837572,259.618033,7637920,0,7.024149,,,,,1,1,7637920,7.024149,-7.024149
3/4/2014 0:00,264.897622,267.101276,262.46442,263.841704,3795552,0,1.055918,,,,,1,1,3795552,1.055918,-1.055918
3/3/2014 0:00,266.642182,267.101276,261.775778,263.198972,3374224,0,3.44321,,,,,1,1,3374224,3.44321,-3.44321
2/28/2014 0:00,266.274906,268.432651,260.123037,264.071251,4542273,0,2.203655,,,,,1,1,4542273,2.203655,-2.203655
2/26/2014 0:00,263.749885,268.019466,261.775778,264.622165,7257494,0,0.87228,,,,,1,1,7257494,0.87228,0.87228
2/25/2014 0:00,260.582132,265.723992,260.582132,263.612157,5313164,0,3.030025,,,,,1,1,5313164,3.030025,3.030025
2/24/2014 0:00,266.183087,268.111285,258.837572,259.663943,6484211,0,6.519144,,,,,1,1,6484211,6.519144,-6.519144
2/21/2014 0:00,273.161326,273.987696,262.693967,264.576256,5639852,0,8.58507,,,,,1,1,5639852,8.58507,-8.58507
2/20/2014 0:00,279.129557,279.129557,271.92177,272.610412,4313306,0,6.519145,,,,,1,1,4313306,6.519145,-6.519145
2/19/2014 0:00,277.293178,280.690478,276.696355,277.798182,2293597,0,0.505004,,,,,1,1,2293597,0.505004,0.505004
2/18/2014 0:00,281.884125,283.399137,274.951795,277.522725,6676786,0,4.3614,,,,,1,1,6676786,4.3614,-4.3614
2/17/2014 0:00,285.419153,285.465063,278.211367,279.72638,3485844,0,5.692773,,,,,1,1,3485844,5.692773,-5.692773
2/14/2014 0:00,279.129557,291.525112,277.293178,280.415022,12761731,0,1.285465,,,,,1,1,12761731,1.285465,1.285465
2/13/2014 0:00,282.29731,284.730511,276.466807,278.119548,3311192,0,4.177762,,,,,1,1,3311192,4.177762,-4.177762
2/12/2014 0:00,280.139565,283.261409,276.971812,282.756404,6539715,0,2.616839,,,,,1,1,6539715,2.616839,2.616839
2/11/2014 0:00,280.047746,281.930034,275.089523,279.68047,10065050,0,0.367276,,,,,1,1,10065050,0.367276,-0.367276
2/10/2014 0:00,289.046001,289.046001,280.323203,281.884125,9433701,0,7.161876,,,,,1,1,9433701,7.161876,-7.161876
2/7/2014 0:00,289.000092,292.213754,282.29731,289.734643,8313742,0,0.734551,,,,,1,1,8313742,0.734551,0.734551
2/6/2014 0:00,288.770544,293.315582,286.934166,289.321458,6842879,0,0.550914,,,,,1,1,6842879,0.550914,0.550914
2/5/2014 0:00,290.974199,291.70875,285.924158,288.586907,4594081,0,2.387292,,,,,1,1,4594081,2.387292,-2.387292
2/4/2014 0:00,278.119548,291.70875,274.951795,290.377376,6882938,0,12.257828,,,,,1,1,6882938,12.257828,12.257828
2/3/2014 0:00,287.485079,287.485079,278.945919,280.828207,3630373,0,6.656872,,,,,1,1,3630373,6.656872,-6.656872
1/31/2014 0:00,284.638692,290.377376,283.812322,289.229639,3312518,0,4.590947,,,,,1,1,3312518,4.590947,4.590947
1/30/2014 0:00,277.293178,285.235516,275.548618,283.399137,8481543,0,6.105959,,,,,1,1,8481543,6.105959,6.105959
1/29/2014 0:00,284.638692,289.000092,276.329079,277.201359,7761126,0,7.437333,,,,,1,1,7761126,7.437333,-7.437333
